,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
437,Surt,LY,59.1,31.21,16.59,95,92,9.19
438,Cockburn Town,TC,77.28,21.46,-71.14,99,48,16.69
439,Gebre Guracha,ET,54.87,9.8,38.4,66,64,1.92
440,Longonjo,AO,56.22,-12.91,15.25,92,20,2.48
441,Verkhnevilyuysk,RU,11.58,63.45,120.31,68,56,5.39
442,Dzilam Gonzalez,MX,83.58,21.28,-88.93,48,0,8.86
443,Souillac,FR,36.55,45.6,-0.6,93,0,4.7
444,Nogent-le-Rotrou,FR,37.65,48.32,0.82,80,0,8.05
445,Savannah Bight,HN,79.89,16.45,-85.85,96,20,17.25
446,Northam,GB,47.73,51.04,-4.21,87,92,19.46
447,Valparaiso,US,29.82,41.47,-87.06,85,1,5.84
448,Russell,AR,60.8,-33.01,-68.8,82,0,2.15
449,Talavera de la Reina,ES,36.15,39.96,-4.83,81,0,1.81
450,Lethem,GY,82.5,3.38,-59.8,59,48,14.23
451,Leh,IN,-3.73,34.16,77.58,75,64,1.36
452,Scottsbluff,US,35.08,41.87,-103.67,93,1,8.05
453,Goderich,CA,28.42,43.74,-81.71,84,80,12.1
454,Ostrovnoy,RU,18.42,68.05,39.51,85,68,8.97
455,The Valley,AI,76.64,18.22,-63.06,73,20,10.29
456,Moorhead,US,16.02,46.87,-96.75,78,1,14.99
457,Hobyo,SO,77.28,5.35,48.53,85,0,13.56
458,Wembley,GB,45.25,51.55,-0.3,81,92,17.22
459,Tezu,IN,60.99,27.93,96.16,69,0,1.81
460,Mishelevka,RU,31.56,52.86,103.17,54,44,3.94
461,Cap Malheureux,MU,77,-19.98,57.61,83,20,4.7
462,Wanxian,CN,57.93,30.8,108.39,67,64,2.59
463,Hofn,IS,38.13,64.25,-15.21,100,92,47.11
464,Coahuayana,MX,68.01,18.62,-100.35,58,0,2.48
465,Tonantins,BR,76.2,-2.86,-67.77,94,20,3.27
466,Kariba,ZW,76.65,-16.53,28.78,64,48,10.42
467,Kazachinskoye,RU,23.82,57.69,93.28,81,80,7.96
468,Kutum,SD,49.2,14.2,24.66,38,0,4.94
469,Tigzirt,DZ,53.01,36.57,4.2,92,8,2.04
470,Inirida,CO,72.15,3.87,-67.92,96,44,2.59
471,Miyang,CN,63.06,24.4,103.44,55,0,8.75
472,Keti Bandar,PK,73.59,24.14,67.45,92,88,7.85
473,Gulmarg,IN,32.91,34.05,74.39,95,48,0.13
474,Sept-Iles,CA,23.54,50.2,-66.38,92,75,5.82
475,Namibe,AO,76.83,-15.19,12.15,100,0,9.42
476,Erzin,TR,53.51,36.95,36.2,100,75,5.82
477,Naryan-Mar,RU,23.91,67.67,53.09,87,88,12.44
478,Hambantota,LK,82.4,6.12,81.12,69,40,5.82
479,Marsa Matruh,EG,53.6,31.35,27.25,46,0,4.16
480,Ambilobe,MG,75.93,-13.19,49.05,93,92,2.48
481,Vila Velha,BR,82.18,-3.71,-38.6,78,40,5.82
482,Dunedin,NZ,71.07,-45.87,170.5,72,12,4.61
483,Xai-Xai,MZ,78.18,-25.04,33.64,97,88,9.31
484,Vanimo,PG,80.34,-2.67,141.3,100,76,15.57
485,Petropavlovsk-Kamchatskiy,RU,28.4,53.05,158.65,36,0,2.24
486,ChengDe,CN,36.24,40.97,117.93,27,0,8.52
487,Koutsouras,GR,59,35.03,25.95,78,68,4
488,Havoysund,NO,24.8,71,24.66,79,75,12.75
489,Amarante,PT,46.49,41.27,-8.08,100,0,2.15
490,Samarai,PG,76.83,-10.62,150.67,100,92,7.63
491,Faya,SA,51.8,18.39,42.45,66,0,2.48
492,Nome,US,65.19,30.04,-94.42,82,1,5.82
493,Vuktyl,RU,26.43,63.86,57.31,83,56,6.17
494,Mount Gambier,AU,62.6,-37.83,140.78,48,90,14.99
495,Dobsice,CZ,34.9,48.85,16.08,86,75,13.87
496,Meulaboh,ID,81.24,4.14,96.13,100,32,3.04
497,Nivala,FI,10.89,63.93,24.96,84,20,3
498,Clarksville,US,44.6,36.53,-87.36,56,90,6.93
499,Cabedelo,BR,78.8,-6.97,-34.84,88,40,3.36
500,Los Llanos de Aridane,ES,62.44,28.66,-17.92,82,0,11.41
501,Richards Bay,ZA,69.45,-28.77,32.06,100,76,1.92
502,Chake Chake,TZ,81.06,-5.25,39.77,98,24,10.76
503,Otradnoye,RU,21.7,59.77,30.8,92,90,4.47
504,Lichinga,MZ,62.6,-13.3,35.25,88,0,2.15
505,Walvis Bay,NA,60.28,-22.95,14.51,87,90,10.29
506,Maputo,MZ,75.34,-25.97,32.57,88,75,5.82
507,Cananea,MX,53.19,30.98,-110.3,87,90,3.36
508,Lamu,ID,84.21,0.57,122.3,79,12,1.59
509,Coquimbo,CL,60.8,-29.95,-71.34,87,0,4.7
510,Pattani,TH,87.8,6.87,101.25,66,20,3.36
511,Oussouye,SN,69.78,12.49,-16.54,73,0,2.24
512,Quepos,CR,69.13,9.43,-84.16,73,20,20.8
513,Quatre Cocos,MU,77.22,-20.21,57.76,83,20,4.7
514,Lumut,ID,79.8,-8.46,120.34,87,68,3.94
515,Lardos,GR,61.43,36.09,28.02,77,0,13.87
516,Havelock,US,57.02,34.88,-76.9,77,90,2.71
517,Zhengjiatun,CN,30.66,43.51,123.51,41,32,16.13
518,Esil,KZ,20.4,51.96,66.41,88,12,11.99
519,Nouakchott,MR,69.8,18.08,-15.98,13,0,6.93
520,Kiama,AU,88.54,-34.67,150.86,22,0,21.92
521,Jatiroto,ID,83.13,-7.61,109.46,100,8,3.49
522,Lebowakgomo,ZA,61.75,-24.3,29.54,87,75,11.41
523,Shubarshi,KZ,24.18,48.59,57.19,82,20,5.17
524,Izumo,JP,56.37,35.37,132.75,58,75,20.8
525,Ranong,TH,86,9.96,98.62,66,40,5.82
526,Key West,US,17.2,47.93,-96.78,78,1,23.04
527,Saint-Joseph,FR,40.6,43.56,6.97,51,0,3.36
528,Muli,IN,64.23,22.62,71.45,63,0,3.04
529,Sayyan,YE,40.38,15.17,44.32,82,0,1.14
530,Muroto,JP,60.8,33.37,134.14,38,75,6.93
531,Bogale,MM,86.46,16.29,95.4,57,0,6.62
532,Merauke,ID,81.69,-8.49,140.4,100,76,7.4
533,Constantine,DZ,37.4,36.36,6.61,93,20,8.05
534,Kurkino,RU,31.83,53.42,38.66,100,76,15.12
535,Sao Raimundo das Mangabeiras,BR,75.93,-7.02,-45.48,83,24,5.61
536,Nazilli,TR,43.89,37.91,28.32,87,36,3.38
537,Galway,IE,42.37,53.27,-9.05,87,75,19.46
538,Karaidel,RU,32.46,55.83,56.91,92,92,13.33
539,Tomatlan,MX,68.82,19.93,-105.25,86,20,2.59
540,Namanyere,TZ,61.62,-7.51,31.05,96,76,2.71
541,Podgorica,ME,46.56,42.44,19.26,87,90,16.11
542,Moose Factory,CA,3.2,51.26,-80.61,77,1,8.05
543,Sivas,TR,33.93,39.75,37.01,80,0,14.99
544,Tekeli,KZ,30.66,44.86,78.76,67,0,3.38
545,Tarauaca,BR,73.77,-8.16,-70.77,93,12,3.6
546,Bang Sai,TH,88.84,14.21,100.5,66,20,4.7
547,Upington,ZA,60.8,-28.46,21.24,76,0,5.82
548,Hakui,JP,52.25,36.89,136.78,66,75,12.75
549,Bucerias,MX,75.6,20.76,-105.33,94,40,2.37
550,Ust-Nera,RU,-5.17,64.57,143.24,72,24,2.71
551,Juneau,US,36.39,58.3,-134.42,93,90,9.17
552,Wattegama,LK,75.93,7.35,80.68,63,0,3.83
553,Derzhavinsk,KZ,17.07,51.1,66.31,82,8,10.2
554,Shelekhov,RU,24.8,52.21,104.1,58,0,2.24
555,Bilma,NE,57.48,18.69,12.92,24,8,3.49
556,Hailey,US,21.07,43.52,-114.32,58,5,8.05
557,Panama City,US,66.06,30.16,-85.65,100,1,5.39
558,Grand Gaube,MU,77.02,-20.01,57.66,83,20,4.7
559,Shakawe,BW,71.97,-18.36,21.84,67,12,7.63
560,Nelson,CA,25.71,49.49,-117.29,72,88,1.7
